iter	Passed	Remaining
399	61981	247927
400	62158	247858
401	62313	247704
402	62474	247572
403	62651	247504
404	62817	247394
405	62978	247259
406	63148	247164
407	63327	247102
408	63529	247127
409	63700	247034
410	63874	246950
411	64039	246832
412	64225	246795
413	64401	246715
414	64589	246686
415	64759	246584
416	64931	246490
417	65105	246402
418	65260	246245
419	65414	246083
420	65591	246008
421	65770	245937
422	65941	245837
423	66105	245711
424	66271	245593
425	66450	245522
426	66630	245455
427	66792	245322
428	66977	245271
429	67130	245104
430	67311	245038
431	67477	244917
432	67643	244797
433	67819	244712
434	68006	244666
435	68179	244571
436	68340	244429
437	68515	244341
438	68678	244207
439	68853	244116
440	69014	243977
441	69192	243896
442	69363	243788
443	69541	243708
444	69712	243602
445	69880	243483
446	70050	243376
447	70229	243295
448	70401	243189
449	70559	243038
450	70731	242933
451	70885	242766
452	71053	242647
453	71232	242567
454	71400	242448
455	71577	242357
456	71752	242263
457	71915	242125
458	72086	242016
459	72249	241879
460	72422	241774
461	72584	241634
462	72746	241491
463	72921	241396
464	73105	241327
465	73286	241248
466	73459	241142
467	73636	241050
468	73805	240930
469	73985	240847
470	74148	240708
471	74308	240557
472	74489	240476
473	74661	240366
474	74836	240265
475	75012	240164
476	75181	240046
477	75345	239907
478	75519	239801
479	75680	239653
480	75856	239555
481	76019	239414
482	76185	239282
483	76353	239157
484	76518	239021
485	76687	238899
486	76858	238782
487	77029	238665
488	77207	238569
489	77386	238477
490	77560	238369
491	77755	238325
492	77929	238214
493	78095	238079
494	78268	237968
495	78442	237858
496	78614	237740
497	78785	237621
498	78966	237531
499	79135	237407
500	79305	237284
501	79484	237185
502	79652	237058
503	79838	236981
504	80004	236844
505	80169	236705
506	80333	236563
507	80516	236477
508	80682	236341
509	80864	236251
510	81047	236164
511	81216	236034
512	81389	235919
513	81557	235786
514	81736	235685
515	81897	235533
516	82070	235416
517	82233	235269
518	82398	235128
519	82565	234994
520	82742	234887
521	82914	234764
522	83100	234682
523	83281	234585
524	83453	234465
525	83614	234310
526	83784	234182
527	83960	234072
528	84135	233955
529	84301	233816
530	84485	233726
531	84669	233636
532	84837	233501
533	85014	233391
534	85190	233279
535	85364	233159
536	85535	233031
537	85715	232928
538	85881	232788
539	86066	232699
540	86235	232563
541	86408	232441
542	86578	232312
543	86762	232218
544	86945	232119
545	87120	232001
546	87292	231876
547	87459	231735
548	87625	231593
549	87800	231473
550	87973	231348
551	88181	231317
552	88366	231223
553	88524	231058
554	88701	230944
555	88885	230845
556	89042	230680
557	89209	230539
558	89373	230388
559	89536	230236
560	89719	230135
561	89900	230029
562	90082	229925
563	90253	229795
564	90440	229702
565	90611	229569
566	90782	229436
567	90950	229297
568	91106	229126
569	91282	229007
570	91456	228882
571	91631	228757
572	91788	228590
573	91950	228435
574	92133	228331
575	92313	228218
576	92494	228111
577	92681	228015
578	92854	227886
579	93024	227749
580	93201	227630
581	93371	227492
582	93543	227360
583	93716	227230
584	93893	227109
585	94066	226978
586	94233	226833
587	94407	226706
588	94581	226578
589	94762	226466
590	94932	226327
591	95108	226203
592	95280	226070
593	95441	225909
594	95615	225780
595	95759	225580
596	95950	225492
597	96105	225317
598	96292	225218
599	96456	225065
600	96622	224917
601	96790	224773
602	96956	224623
603	97108	224443
604	97264	224271
605	97419	224097
606	97611	224006
607	97764	223828
608	97945	223714
609	98144	223640
610	98337	223553
611	98527	223456
612	98728	223387
613	98919	223294
614	99101	223178
615	99295	223092
616	99482	222989
617	99656	222857
618	99848	222762
619	99999	222578
620	100148	222391
621	100277	222158
622	100410	221934
623	100538	221699
624	100657	221446
625	100791	221226
626	100906	220964
627	101036	220736
628	101168	220511
629	101292	220270
630	101416	220031
631	101542	219794
632	101693	219612
633	101820	219379
634	101946	219144
635	102073	218913
636	102195	218670
637	102327	218448
638	102447	218202
639	102568	217957
640	102693	217723
641	102821	217495
642	102954	217276
643	103096	217078
644	103282	216973
645	103457	216845
646	103642	216735
647	103815	216602
648	104007	216508
649	104198	216412
