iter	RMSE
424	2.065132225
425	2.065073482
426	2.065071114
427	2.065026299
428	2.064816209
429	2.064728398
430	2.064676739
431	2.064595134
432	2.064589997
433	2.063232677
434	2.062900096
435	2.062886528
436	2.062879082
437	2.062688423
438	2.06267779
439	2.062495548
440	2.062446279
441	2.062190662
442	2.06159472
443	2.061298316
444	2.06120829
445	2.061019148
446	2.060936688
447	2.060540163
448	2.060468876
449	2.060415081
450	2.060404071
451	2.060204071
452	2.059976371
453	2.059974261
454	2.059966322
455	2.059637361
456	2.059502203
457	2.058630817
458	2.058604711
459	2.057779779
460	2.057688993
461	2.0565731
462	2.05653592
463	2.055865511
464	2.055859376
465	2.05584991
466	2.055834746
467	2.055612478
468	2.055400916
469	2.055147348
470	2.055035028
471	2.054998095
472	2.054959505
473	2.054516176
474	2.054509539
475	2.054019393
476	2.05388411
477	2.053860662
478	2.053793173
479	2.053749216
480	2.053694932
481	2.053214157
482	2.053203272
483	2.05307907
484	2.053024452
485	2.052861803
486	2.052812155
487	2.05269372
488	2.052580032
489	2.052532462
490	2.051620376
491	2.051608067
492	2.051528684
493	2.051520267
494	2.051461268
495	2.051414277
496	2.051396103
497	2.051375224
498	2.051316665
499	2.051161787
500	2.051160237
501	2.05083229
502	2.050824354
503	2.050666985
504	2.050389519
505	2.050371044
506	2.050329757
507	2.050053055
508	2.049603017
509	2.049406532
510	2.048838805
511	2.048536143
512	2.047997705
513	2.047952559
514	2.047867708
515	2.04782397
516	2.046918606
517	2.046814167
518	2.046752947
519	2.046577533
520	2.045720201
521	2.045709329
522	2.045433306
523	2.045356974
524	2.044949022
525	2.044942521
526	2.044930119
527	2.04471614
528	2.044535492
529	2.044378655
530	2.042886091
531	2.042837004
532	2.042745804
533	2.04251759
534	2.042501837
535	2.042419753
536	2.042321726
537	2.04204655
538	2.041827538
539	2.041259792
540	2.04120264
541	2.040667024
542	2.040629116
543	2.040434622
544	2.040426457
545	2.039968028
546	2.039650856
547	2.039200367
548	2.039190527
549	2.038618108
550	2.038570199
551	2.038331519
552	2.036403066
553	2.036110037
554	2.036102887
555	2.035939155
556	2.035936019
557	2.035906967
558	2.035891071
559	2.035878675
560	2.035716421
561	2.035395215
562	2.035280285
563	2.03520426
564	2.035131848
565	2.035127965
566	2.034255907
567	2.034203077
568	2.034187377
569	2.034035947
570	2.033610848
571	2.033491205
572	2.033481636
573	2.033399958
574	2.033293395
575	2.033098351
576	2.032789572
577	2.032269152
578	2.031551897
579	2.031515103
580	2.031500689
581	2.031388502
582	2.031255043
583	2.030446235
584	2.03043972
585	2.0299586
586	2.029890909
587	2.029792053
588	2.028926032
589	2.028919306
590	2.028884513
591	2.028824372
592	2.028609789
593	2.028601722
594	2.02846491
595	2.028360557
596	2.028172588
597	2.02813255
598	2.028119327
599	2.028114745
600	2.028044977
601	2.027470159
602	2.027463784
603	2.027431362
604	2.027131545
605	2.027118386
606	2.027090448
607	2.027079002
608	2.026665391
609	2.026642906
610	2.026597822
611	2.026570281
612	2.026211418
613	2.026125052
614	2.024954249
615	2.024814818
616	2.024611838
617	2.024546846
618	2.024507607
619	2.024361384
620	2.024155811
621	2.024123862
622	2.023998567
623	2.02397567
624	2.023930648
625	2.023812324
626	2.023630802
627	2.023620376
628	2.02360481
629	2.02270836
630	2.022479478
631	2.022326279
632	2.022246348
633	2.021587214
634	2.021580038
635	2.021416926
636	2.020118316
637	2.019804456
638	2.019781526
639	2.019737695
640	2.019714038
641	2.019697329
642	2.019425759
643	2.018965942
644	2.018816422
645	2.018510582
646	2.018266323
647	2.01825483
648	2.017852527
649	2.017747524
